DATE,Deposits_Billions
18/08/1982,1312.7209
25/08/1982,1327.5811
01/09/1982,1336.3003
08/09/1982,1332.6601
15/09/1982,1343.2133
22/09/1982,1333.1308
29/09/1982,1321.893
06/10/1982,1334.8025
13/10/1982,1343.9141
20/10/1982,1342.7393
27/10/1982,1349.829
03/11/1982,1359.7451
10/11/1982,1338.7853
17/11/1982,1341.4476
24/11/1982,1357.1148
01/12/1982,1358.8214
08/12/1982,1357.9811
15/12/1982,1370.869
22/12/1982,1372.8874
29/12/1982,1359.276
05/01/1983,1372.4573
12/01/1983,1382.524
19/01/1983,1376.6457
26/01/1983,1392.2491
02/02/1983,1392.7285
09/02/1983,1389.7119
16/02/1983,1380.9984
23/02/1983,1404.2564
02/03/1983,1414.4653
09/03/1983,1397.4926
16/03/1983,1408.5886
23/03/1983,1407.8092
30/03/1983,1406.8663
06/04/1983,1412.8081
13/04/1983,1409.9705
20/04/1983,1412.1999
27/04/1983,1414.5715
04/05/1983,1419.4602
11/05/1983,1424.6855
18/05/1983,1418.1324
25/05/1983,1421.1567
01/06/1983,1439.7075
08/06/1983,1424.9425
15/06/1983,1437.7178
22/06/1983,1430.7975
29/06/1983,1424.1531
06/07/1983,1444.3855
13/07/1983,1435.1971
20/07/1983,1435.0473
27/07/1983,1447.3588
03/08/1983,1440.7102
10/08/1983,1440.5208
17/08/1983,1437.6558
24/08/1983,1446.434
31/08/1983,1442.4299
07/09/1983,1449.2088
14/09/1983,1447.2257
21/09/1983,1453.366
28/09/1983,1442.3359
05/10/1983,1460.6712
12/10/1983,1468.1842
19/10/1983,1452.0973
26/10/1983,1469.896
02/11/1983,1459.7977
09/11/1983,1464.2048
16/11/1983,1471.0233
23/11/1983,1477.4027
30/11/1983,1474.1016
07/12/1983,1476.6827
14/12/1983,1475.7741
21/12/1983,1478.0128
28/12/1983,1478.5251
04/01/1984,1496.6082
11/01/1984,1495.4333
18/01/1984,1476.1257
25/01/1984,1488.9335
01/02/1984,1492.4017
08/02/1984,1485.3301
15/02/1984,1491.1134
22/02/1984,1491.2078
29/02/1984,1500.5409
07/03/1984,1495.4311
14/03/1984,1509.2893
21/03/1984,1503.7681
28/03/1984,1506.6139
04/04/1984,1516.2472
11/04/1984,1518.0133
18/04/1984,1511.6862
25/04/1984,1522.8191
02/05/1984,1522.07
09/05/1984,1530.6868
16/05/1984,1541.9836
23/05/1984,1543.6477
30/05/1984,1531.3089
06/06/1984,1546.5811
13/06/1984,1540.5262
20/06/1984,1550.2948
27/06/1984,1545.252
04/07/1984,1561.6486
11/07/1984,1558.2331
18/07/1984,1553.056
25/07/1984,1566.4666
01/08/1984,1564.2521
08/08/1984,1561.8491
15/08/1984,1572.2214
22/08/1984,1562.414
29/08/1984,1550.7714
05/09/1984,1572.234
12/09/1984,1569.2038
19/09/1984,1573.1158
26/09/1984,1572.1225
03/10/1984,1577.4956
10/10/1984,1589.9253
17/10/1984,1563.0429
24/10/1984,1590.1235
31/10/1984,1583.9074
07/11/1984,1589.6888
14/11/1984,1598.2423
21/11/1984,1596.7702
28/11/1984,1580.8372
05/12/1984,1608.1402
12/12/1984,1609.5803
19/12/1984,1607.3965
26/12/1984,1619.1068
02/01/1985,1618.4305
09/01/1985,1610.0913
16/01/1985,1618.4778
23/01/1985,1622.5393
30/01/1985,1614.6794
06/02/1985,1623.6434
13/02/1985,1627.6153
20/02/1985,1636.4484
27/02/1985,1638.4305
06/03/1985,1637.4201
13/03/1985,1639.7739
20/03/1985,1645.9736
27/03/1985,1648.9986
03/04/1985,1660.5582
10/04/1985,1662.2145
17/04/1985,1652.9343
24/04/1985,1663.2195
01/05/1985,1676.5124
08/05/1985,1669.5667
15/05/1985,1687.5011
22/05/1985,1672.9569
29/05/1985,1671.4749
05/06/1985,1682.1493
12/06/1985,1689.8281
19/06/1985,1691.4777
26/06/1985,1687.4522
03/07/1985,1686.4223
10/07/1985,1694.8117
17/07/1985,1682.1911
24/07/1985,1706.6409
31/07/1985,1700.8403
07/08/1985,1704.6007
14/08/1985,1700.8426
21/08/1985,1710.386
28/08/1985,1705.7012
04/09/1985,1725.6562
11/09/1985,1711.5278
18/09/1985,1723.4396
